Block,Lot,QualCode,Tax
4,119,           ,797.92
4,9,           ,733917.96
5,1,           ,20497.61
5,14,           ,57894.62
6,1,           ,28281.12
6,5,           ,27831.48
6,5,T01        ,7305.96
6,1,B01        ,2825.01
8,9.03,           ,32498.48
8,9.05,           ,41348.76
8,9.06,           ,34350.69
9,6,B01        ,4577.82
9,6,           ,123571.69
12,44,           ,14918.91
12,20,           ,1125.66
12,16,           ,1355.14
12,46,           ,1519.49
12,14,           ,1252.8
12,53,           ,105434
14,7,           ,117853.51
14,43,           ,5783.37
14,46,           ,5625.21
14,49,           ,5625.21
14,4,           ,10968.88
14,19,           ,14633.45
14,44,           ,6267.12
14,48,           ,5625.21
14,9,           ,1028359.82
14,45,           ,5463.96
14,50,           ,11408.58
14,1,           ,336187.76
14,47,           ,5625.21
15,23,           ,10183.68
15,25,           ,11489.21
15,39,           ,937
15,57,           ,6277.62
15,24,           ,7752.5
15,36,           ,7969.57
15,52,           ,6048.42
15,58,           ,2673.85
15,20,           ,3516.66
15,37,           ,10863.13
15,38,           ,1676.71
15,45,           ,58726.62
15,53,           ,6209.18
15,21,           ,20584.43
15,22,           ,8527.74
15,30,           ,8139.1
15,35,           ,8980.5
15,39,B01        ,2098.67
15,51,           ,7848.63
15,70,           ,19682.78
17,7,           ,767902.31
17,26,           ,6468.4
18,9,           ,8671.87
18,27,           ,78234.33
18,1,           ,28421.46
18,3,           ,15654.02
18,6,           ,6834.5
18,8,           ,6834.4
18,22,           ,47222.56
18,2,           ,22888.95
18,10,           ,11002.06
18,19,           ,14416.06
18,25,           ,55631.79
18,39,           ,274194.38
18,5,           ,4668.89
18,7,           ,7833.11
18,11,           ,83763.34
18,16,           ,29704.18
18,20,           ,38624.91
18,67,           ,16674.13
19,6,           ,8226.14
19,8,           ,6954.27
19,15,           ,7339.45
19,21,           ,18346.51
19,22,           ,6296.52
19,5,           ,13997.08
19,12,           ,9708.82
19,17,           ,14338.83
19,18,           ,11288.16
19,20,           ,4952.77
19,2,           ,8169.8
19,4,           ,14612.42
19,9,           ,20358.87
19,13,           ,21090.79
19,14,           ,12839.91
19,19,           ,6590.12
19,23,           ,11689.54
19,25,           ,11161.35
19,26,           ,8278.81
19,1,           ,88502.92
19,7,           ,6419.07
19,11,           ,11576.61
19,24,           ,14036.69
20,9,           ,7784.95
20,14,           ,13343.44
20,6,           ,11202.99
20,8,           ,8340.13
20,21,           ,10004.01
20,5,           ,12359.68
20,7,           ,9733.31
20,31,           ,5669.59
20,10,           ,10900.55
20,13,           ,4446.72
20,19,           ,20754.55
20,23,           ,3356.1
20,25,           ,18006.27
21,23,           ,6878.27
21,20,           ,8051.1
21,8,           ,46170.79
22,20,           ,18389.36
22,10,           ,59164.49
22,22,           ,18761.05
22,25,           ,19530.1
22,21,           ,10939.24
22,24,           ,21248.05
22,9,           ,19824.69
22,23,           ,25978.71
22,26,           ,36483.27
24,40,           ,626036
24,29,           ,1182944.67
24,37,           ,234925.56
25,1,           ,369403.36
29,17,           ,1852.58
29,48,           ,2953.62
29,1,           ,16046.87
29,6,           ,7175.71
29,18.01,           ,7870.34
29,18.04,           ,7405.19
29,36,           ,6642.34
29,47,           ,2457.32
29,18.03,           ,8406.81
29,18.05,           ,12096.36
29,33,           ,7305.96
29,16,           ,2078.94
29,18.02,           ,7904.45
29,32,           ,3817.33
29,46,           ,757.82
31,15,           ,14333.63
31,21,           ,1873
31,22,           ,6105.87
31,27,           ,50292.02
31,14,           ,5783.37
31,14,B01        ,1981.54
31,23,           ,3535.14
31,25,           ,11086.08
32,18.01,C1A        ,19578.39
32,18.02,C2AX       ,1488.48
32,53,           ,5091.76
32,51,           ,5355.43
32,18.03,C2B        ,514031.06
32,52,           ,5417.56
33,1,           ,4332.1
33,3,           ,3696.39
33,11,           ,7712.19
33,35,           ,6691.96
33,55,           ,3861.68
33,63,           ,2527.32
33,4,           ,3212.64
33,9,           ,9318.51
33,30.01,CIA        ,2349.45
33,30.02,CIB        ,3082.86
33,2,           ,5141.46
33,30.04,C3D        ,3055.18
33,34,           ,14232.07
33,57,           ,5265.5
33,5,           ,6428.37
33,30.03,C3C        ,3046.32
33,32,           ,9220.48
33,66,           ,1851.3
34,19,           ,23274.4
34,23,           ,2664.83
34,28.02,C32B       ,5690.34
34,31,           ,3191.55
34,22,           ,3941.49
34,24,           ,5057.29
34,27.02,C34B       ,5147.66
34,28.01,C32A       ,4561.57
34,30,           ,4694.91
34,27.01,C34A       ,4263.88
34,29,           ,4550.36
35,1,           ,1540272.9
36,2,           ,13960.92
36,3,           ,15225.09
36,41,           ,9380.51
36,5,           ,4390.61
36,37,           ,6192.7
36,1,           ,12262
36,4,           ,4390.61
39,42,           ,8019.19
39,32,LOT        ,27226.78
39,44,           ,5101.15
39,43,           ,3274.66
39,65,           ,3324.27
40,4.01,C54A       ,5042.23
40,4.02,C54B       ,3638.78
40,8.01,C46A       ,3876.25
40,8.02,C46B       ,3652.98
40,9,           ,5739.95
40,10.01,C1         ,3979.72
40,19,           ,2939.75
40,53,           ,4360.01
40,1,           ,6307.43
40,6,           ,6479.36
40,7.01,C48A       ,3876.25
40,7.02,C48B       ,6708.42
40,21,           ,5172.31
40,52.01,C46A       ,6112.8
40,52.02,C46B       ,3687.13
40,3.01,C56A       ,5101.15
40,3.02,C56B       ,3674.69
40,5,           ,1613.38
40,10.02,C2         ,3941.37
40,18,           ,3084.86
40,20,           ,3119.61
40,2,           ,9157.25
40,22,           ,3166.94
41,36,           ,6391.16
41,33,           ,4916.21
41,34,           ,4524.36
41,72,           ,6233.01
41,32,           ,4443.73
41,35,           ,5245.63
43,18,           ,888.44
43,27,           ,3423.5
43,31,           ,6723.74
43,52,           ,1445.33
43,25,           ,629.53
43,26,           ,8301.38
43,28,           ,5429.85
43,34,           ,2883.93
43,23,           ,930
43,29,           ,5197.28
43,33,           ,2488.48
43,48,           ,6457.57
43,60,           ,1350.1
43,1,           ,4459.24
43,24,           ,4682.51
43,35,           ,2834.31
43,36,           ,11539.67
44,47,           ,2025.75
44,64,           ,3590.96
44,38,           ,6795.92
44,46,           ,3919.66
44,33,           ,183.73
44,48,           ,5684.06
44,65,           ,847.47
44,62,           ,3693.29
44,63,           ,3128.91
45,18,           ,12115.6
45,36.01,C49A       ,6535.39
45,37.02,C51B       ,4524.36
45,38.01,C53A       ,4186.35
45,39.01,C55A       ,4186.35
45,59,           ,2842.18
45,60,           ,1956.49
45,8,           ,502.98
45,10,           ,1741.21
45,15,           ,15593.66
45,36.02,C49B       ,4639.1
45,41.02,C59B       ,7600.73
45,54,           ,2180
45,9,           ,3011.07
45,13,           ,19140.02
45,40.02,C57B       ,4524.36
45,42.01,C61A       ,4186.35
45,42.02,C61B       ,8462.69
45,64,           ,412.43
45,65,           ,415.53
45,7,           ,11755.68
45,16,           ,9908.86
45,37.01,C51A       ,4186.35
45,38.02,C53B       ,5474.17
45,39.02,C55B       ,4524.36
45,40.01,C57A       ,4191.35
45,41.01,C59A       ,4404.7
45,58,           ,2155.2
45,63,           ,415.53
47,40,           ,36514.28
47,40,B01        ,7488.92
48,36,           ,2713.38
49,1,           ,498562.21
50,2,           ,25955.37
51,59,           ,42665.86
51,62,B01        ,502.36
51,2,           ,172967.19
51,64,           ,7152.17
51,22,           ,1224.02
51,62,           ,9943.41
52,4,           ,88231.86
52,10,           ,41281.47
52,23,           ,3212.87
52,26,           ,1700.93
52,34,           ,12327.36
52,39,           ,22746.96
52,41,           ,61279.18
52,18,           ,3597.9
52,32,           ,9147.81
52,46,           ,5805.6
52,27,           ,3122.8
52,32,B01        ,466.33
52,38,           ,25079.83
52,21,           ,1379.05
52,22,           ,1300.8
53,11,           ,14736.54
53.01,38,           ,1854447.67
53,4,           ,267397.62
53,9,           ,25977.12
53,13,           ,13217.85
53,49,           ,154740.33
54,40,           ,3145952.04
55,1,           ,130079.82
55,7,           ,45995.38
55,2,           ,3878.91
55,10,           ,93232.42
55,22,           ,403465.61
56,12,           ,7012.53
56,1,           ,209021.51
56,5,           ,44232.93
56,4,           ,84872.69
56,13,           ,19342.1
57.01,43,           ,102409.75
57.01,52,           ,23976.06
57.03,82,           ,7148.72
57.03,94,           ,102709.19
57.04,103,           ,3075.54
57.04,106,           ,13371.51
57.04,110,           ,20385.97
57.04,125,           ,13616.07
57.04,131,           ,16483.35
57.05,1,           ,2498.73
57,32,           ,63538.68
57.02,58,           ,41770.05
57.02,153,           ,21572.34
57.03,77,           ,23808.55
57.03,84,           ,9431.2
57.04,105,           ,33299.18
57.04,108,           ,22072.27
57.04,115,           ,42367.56
57.04,118,           ,64521.91
57.04,127,           ,48097.08
57.04,136,           ,16176.22
57.04,139,           ,47867.36
57.05,3.02,           ,5405.04
57.05,29,           ,4289.41
57,31,           ,4304.76
57.01,75,           ,115619.63
57.02,56,           ,17637.44
57.03,100,           ,25756.64
57.04,107,           ,11705.48
57.04,111,           ,22867.39
57.04,114,           ,21573.33
57.04,123,           ,26726.54
57.04,132,           ,59582.61
57.04,138,           ,12557.75
57,161,           ,130315.02
57.01,42,           ,36813.81
57.01,50,           ,37343.14
57.02,54,           ,66362.67
57.02,57,           ,18998.4
57.03,79,           ,33081.8
57.03,80,           ,14575.11
57.03,81,           ,21622.12
57.03,86,           ,54033.73
57.04,109,           ,22072.27
57.04,112,           ,38021.36
57.04,121,           ,19747.76
57.05,3.01,           ,116427.42
57.05,27,           ,7976.09
58,31,           ,1147.24
58,32,           ,4972.85
58,35.02,           ,1470.6
58,8,           ,6866.49
58,15,           ,34402.14
58,21,           ,39453.55
58,30,           ,1147.24
58,1,           ,17199.57
58,6,           ,4239.03
58,35.01,           ,13545.79
58,43,           ,5420.24
58,2,           ,12703.82
58,4,           ,11416.3
58,9,           ,35383.17
58,41,           ,1253.56
59,8,           ,28225.24
59,25,           ,38653.63
59,34,           ,15261.43
59,1,           ,5473.39
59,21,           ,47042.07
59,30,           ,20031.67
59,35,           ,14710.14
59,40,           ,11973.45
59,19,           ,96986.24
59,29,           ,2565.03
59,38,           ,12145.11
60,11,           ,4229.43
60,21,           ,12085.68
60,35,           ,25792.25
60,43,           ,22273.18
60,2,           ,8041.44
60,3,           ,12271.27
60,13,           ,27189.27
60,25,           ,4451.94
60,33.01,           ,48758.09
60,5,           ,23599.71
60,12,           ,11147.82
60,27,           ,34628.19
60,37,           ,17556.05
60,49,           ,7800.77
60,67,           ,8252.99
60,39,           ,63010.41
60,51,           ,51039.81
60,4,           ,15937.55
60,9,           ,16308.16
60,19,           ,11359.42
60,23,           ,22705.52
60,38,           ,8825.31
60,48,           ,10744.59
61,33,           ,1601274.75
62,1.02,C2         ,201993.67
62,1.03,C3         ,1279917.17
63.01,44,           ,180446.75
63.01,51,           ,12584.16
63,32,           ,42648.63
63,67,           ,5147.09
63,23,           ,42800.35
63,60,           ,201819.3
63,28,           ,1149.22
63.01,58,           ,66322.36
64,1,           ,8814.28
64,7,           ,21201.64
64,11,           ,2337.58
64,21,           ,10590.33
64,24,           ,4149.14
64,2,           ,3755.54
64,3,           ,3731.35
64,10,           ,3349.08
64,13,           ,767.78
64,22,           ,12121.54
64,25,           ,4350.7
64,30,           ,4806.55
64,14,           ,42914.32
64,17,           ,51162.2
64,23,           ,11928.87
64,26,           ,4397.22
64,29,           ,4186.35
64,12,           ,3953.78
64,27,           ,4325.9
64,31,           ,10881.42
65,8,           ,31912.91
65,28,           ,10339.54
65,20,           ,32324.71
65,27,           ,10462.64
65,29,           ,17673.59
65,9,           ,30232.78
65,26,           ,11009.66
66,47,B01        ,322.37
66,45,B01        ,437.24
66,38,B01        ,1293.25
69,2,           ,14724.6
69,9,           ,10130.86
69,14,           ,1830.85
69,48,           ,37136.49
69,6,           ,3537.25
69,15,           ,7449.11
69,44,           ,2786.21
69,47,           ,2373.56
69,7,           ,7625.08
69,46,           ,2433.14
69,12,           ,6772.5
69,45,           ,2373.56
70,1,           ,2573600.34
70,12,           ,412649.68
71,33,           ,15149.2
71,29,           ,2446.19
71,32,           ,12049.37
71,1,           ,653732.7
71,31,           ,20173.18
71,30,           ,2357.05
72,4,           ,18412.88
72,9,           ,22862.07
72,13,T01        ,15589.54
72,17,           ,25881.16
72,22,T01        ,5583.38
72,26,           ,17232.48
72,45,           ,36038.22
72,13,           ,43538.46
72,15,           ,24185.15
72,22,           ,27925.32
72,28,           ,19622.46
72,47,           ,16794.7
72,1,           ,18442.07
72,6,           ,23682.5
72,7,           ,68621.87
72,11,           ,18484.22
72,16,           ,21282.8
72,5,           ,20955.27
72,7,T01        ,15589.54
72,12,           ,35103.82
72,15,T01        ,15589.54
72,18,           ,33398.07
72,20,           ,17112.5
73,4,           ,4133.1
73,71,           ,34075.7
73,87,           ,7704.99
73,5,           ,4304.76
73,6,           ,4304.76
73,15,           ,99200.97
73,91,           ,26544.93
73.01,31,           ,124040
74,34,           ,465150
74,34.01,           ,353017.84
75,17,           ,374033.32
78.01,14,           ,44967.6
83,2,           ,245766.65
93,14,           ,61261.89
93,17,           ,24286.91
93,45,           ,120287.71
93,19,           ,10032.24
93,44,           ,45851.62
93,1,           ,139799.11
93,22,           ,75738
93,24,           ,159955.71
94,27,           ,31860.54
94,1,           ,13752.79
94,3,           ,21309.84
94,6,           ,31774.03
94,21,           ,7829.89
94,22,           ,4644.8
94,24,           ,3982.17
94,23,           ,6965.6
94,25,           ,3982.17
94,26,           ,6440.61
95,12,           ,15957.75
95,31,           ,7060.63
95,1.01,           ,34788.08
95,2,           ,1640.39
95,4,           ,7131.5
95,9,           ,1742.28
95,1.02,           ,11027.73
95,3,           ,1659.59
95,8,           ,2431.8
95,10,           ,4244.94
95,1,           ,1956.37
95,16,           ,4717.42
96,26,           ,44260.57
96,5,           ,8143.23
96,6,           ,1454.23
96,11,           ,15582.53
97,26,           ,6301.23
97,28,           ,10977.54
97,39,           ,26169.49
97,24,           ,3739.81
97,30,           ,5370.93
97,31,           ,16007.36
98,1,           ,186881.77
100,5.03,           ,5420.55
100,5.08,           ,4780.72
100,5.09,           ,6330.76
100,5.11,           ,5106.33
100,5.13,           ,5961.89
100,5.04,           ,6972.03
100,5.05,           ,5584.75
100,5.1,           ,6040.27
100,5.12,           ,5107.94
100,5.15,           ,9368.59
100,5.01,           ,8346.24
100,5.06,           ,5608.67
100,5.14,           ,5390.96
100,5.02,           ,6087.97
100,5.07,           ,5812.95
100,14,           ,19754.89
102,73,           ,684.36
102,8,           ,48806.87
103,2,           ,205465.92
103,45,           ,39054.78
103,48,           ,2206
103,45,T01        ,15730.48
103,55,           ,21464.16
103,62,           ,11590.52
103,63,           ,7885.84
103,41,           ,104151.97
104,21,           ,439566.75
105,6,           ,19325.43
106,1,           ,744240
106,1,T01        ,16397.39
111,70.01,           ,7052.69
111,1,           ,159818.33
111,70,           ,5352.94
111,76,           ,887434.88
111,75,           ,193591.25
111,70.02,           ,5424.19
112,2,           ,53836.46
113,1,           ,8599.75
114,63.04,           ,10661.24
114,69.03,           ,9566.59
114,69.05,           ,8109.12
114,69.08,           ,7181.92
114,79.01,           ,10360.44
114,79.04,           ,10301.52
114,89,           ,5604.62
114,98,           ,61895.96
114.01,39.01,           ,4714.2
114.01,39.04,           ,7293
114.01,49,           ,1514.81
114.01,108,           ,12940.41
114,63.01,           ,11966.76
114,69.01,           ,9907.7
114,94,           ,7647.07
114.01,39.03,           ,9451.19
114.01,39.05,           ,5949.43
114.01,47,           ,1282.73
114.01,51,           ,6487.29
114.01,58,           ,9244.08
114,63.02,           ,10620.93
114,68,           ,10518.23
114,69.02,           ,11732.25
114,69.06,           ,10057.89
114,79.02,           ,10307.72
114,90,           ,7808.32
114,95,           ,10606.62
114,97,           ,7335.12
114.01,39.02,           ,6486.06
114.01,39.07,           ,5654.58
114.01,57,           ,7842.43
114,1,           ,29276.61
114,63.03,           ,10620.93
114,69.07,           ,11025.25
114,69.09,           ,7473.41
114,77,           ,6853.46
114,79.03,           ,10261.21
114,91,           ,10843.07
114,93,           ,7755.6
114.01,39.06,           ,5710.03
114.01,45,           ,1518.57
114.01,60,           ,8025.39
115,9,           ,3100.3
115,17,           ,2470.76
115,5,           ,10174.38
115,7,           ,2229.66
115,11,           ,10342.3
115,20,           ,2064.24
115,1,           ,2817.68
115,21,           ,4174.78
115,22,           ,2339.84
115,24,           ,1443.42
115,13,           ,7016.06
115,19,           ,2716.11
115,23,           ,2456.21
115,25,           ,1356.5
115,26,           ,11221.41
116,9,           ,1573.37
116,12,           ,1845.1
116,14,           ,1736.56
116,17,           ,2062.17
116,29,           ,2930.45
116,37,           ,8369.6
116,38,           ,8171.14
116,42,           ,24528.51
116,48,           ,1762.2
116,60,           ,10754.34
116,61,           ,15589.06
116,71,           ,12047.39
116,13,           ,1845.1
116,26,           ,22663.05
116,28,           ,11291.79
116,34,           ,3879.56
116,39,           ,8264.17
116,57,           ,6070.16
116,62.01,           ,7629.02
116,62.06,           ,10248.81
116,3,           ,2297.28
116,15,           ,2713.38
116,22,           ,4015.8
116,24,           ,4232.87
116,30,           ,7302.56
116,40,           ,32367.87
116,47,           ,1762.2
116,58,           ,6125.74
116,62.07,           ,4759.12
116,5,           ,2237.51
116,7,           ,1711.24
116,18,           ,24873.6
116,27,           ,1519.49
116,31,           ,1762.35
116,32,           ,2800.78
116,46,           ,2643.16
116,49,           ,8384.22
116,55,           ,5734.87
116,59,           ,6107.41
117,14,           ,1587.71
117,23,           ,3177.43
117,1,           ,39596.84
117,13,           ,1804.78
117,15,           ,1804.78
118,9,           ,35404.12
118,14,           ,35351.4
118,25,           ,27474.86
118,29,           ,18929.04
118,33,           ,13082.51
118,34,           ,3907.26
118,3,           ,1480
118,30,           ,12398.34
118,1,           ,7492.02
118,7,           ,1478.82
118,11,           ,17601.28
118,5,           ,20813.91
118,27,           ,15216.23
118,31,           ,37390.91
119,4,           ,3594.06
119,39.02,           ,4210.99
119,50,           ,3464.5
119,50.01,           ,2993.07
119,5,           ,25532.29
119,38,           ,4459.32
119,39.01,           ,25050.97
119,53,           ,5021.88
119,56,           ,3401.88
119,61,           ,34059.5
119,7,           ,68939.05
119,49,           ,3474.3
119,52,           ,3559.41
119,55,           ,3401.88
119,1,           ,203297.05
119,3,           ,2713.38
119,30,           ,34769.66
119,51,           ,2768.43
119,54,           ,6438.2
121,4,           ,1907.12
121,19,           ,4688.71
121,21.07,           ,10208.05
121,33,           ,399.34
121,34,           ,392.76
121,41,           ,2508.49
121,48,           ,2726.46
121,57.02,           ,10251.91
121,72,           ,19554.91
121,1,           ,2450.55
121,8,           ,6108.97
121,10,           ,6972.02
121,21.03,           ,10332.53
121,21.05,           ,10295.32
121,47,           ,39.51
121,51,           ,8177.34
121,54,           ,7764.9
121,7,           ,8455.41
121,21.01,           ,7867.89
121,21.04,           ,10295.32
121,21.06,           ,10442.13
121,31,           ,7039.27
121,43,           ,2415.37
121,46,           ,1175.2
121,52,           ,10137.17
121,55,           ,8202.15
121,57.03,           ,10059.64
121,67,           ,1663.64
121,18,           ,8751.02
121,21.02,           ,10295.32
121,32,           ,8009.88
121,45,           ,1564.36
121,57.01,           ,10081.35
122,25,           ,8604.88
122,34.01,           ,9802.26
122,41,           ,7684.07
122,47,           ,5659.33
122,64,           ,108424.43
122,19,           ,8354.09
122,23,           ,8223.85
122,29,           ,8301.38
122,33,           ,5909.23
122,34.03,           ,10642.63
122,45,           ,3637.47
122,48,           ,5129.05
122,27,           ,8391.31
122,31,           ,7771.11
122,42,           ,10188.06
122,1,           ,30011.48
122,16,           ,1141.68
122,21,           ,8301.38
122,34.02,           ,9836.37
122,43,           ,12326.48
122,46,           ,3649.88
123,43,           ,2013.68
123,56.01,           ,18295.9
123,20,           ,13319.79
123,52,           ,11712.16
123,56.02,           ,96028.67
123,19,           ,240.86
123,33,           ,1564.92
123,38,           ,15.83
123,56.03,           ,67874.69
123,96,           ,57401.26
123,121,           ,7004.3
123,44,           ,282191
123,54,           ,9261.75
125,7,           ,49542.85
125,58,           ,15095.82
125,88,           ,3334.21
125,91,           ,4163.66
125,98,           ,17291.34
125,100,           ,18375.92
125,9,           ,49555.06
125,87,           ,1868.48
125,96,           ,88766.18
125,99,           ,17293.33
125,108,           ,1815.66
125,1,           ,695318.02
125,15,           ,523695.54
125,15,T01        ,15465.76
125,84,           ,5426.26
125,86,           ,1590.99
125,92,           ,9429.4
125,101,           ,14999.23
125,110,           ,4853.83
125,102,           ,2518.93
126,2,           ,2205.48
126,1,           ,1312.49
126,52,           ,38969.3
126,53,           ,27431.23
128.01,1.03,           ,1426.46
128,1.01,           ,27288.8
128.01,1.02,           ,8202.48
129,1,           ,1017822.11
130,1,           ,36973.41
130,12,           ,98507.73
133,1,           ,38888.11
134,10,           ,163194.7
136,63.02,           ,969691.19
136,63.01,           ,232074.18
136,9,           ,58451.01
136,63.03,           ,574118.82
137.01,120,           ,14782.47
137.01,13,B01        ,3442.11
137,25,           ,282103.83
137.01,13,           ,19160.15
138,1.01,           ,1563918.39
138,1.03,           ,684520.4
138,1.02,           ,73814.78
142,1,           ,3782564.87
143,1,           ,191690.64
144,1,           ,49680.67
144,3,           ,175749.15
144,7,           ,33344.18
144.01,46.03,C3A        ,84302.68
144,1,T01        ,7305.96
144.01,46.01,C1A        ,300294.9
144,9,           ,337127.77
144.01,46.02,C2A        ,70883.31
145,17,           ,2327.02
145,38,           ,20959.57
145,42,           ,49376.01
145,60,           ,10070.43
145,61,           ,8406.37
145,66,           ,16688.07
145,1,           ,868373.23
145,35,           ,12230.94
145,36,           ,18478.51
145,40,           ,5030.51
145,62,           ,113283.19
145,19,           ,462152.27
145,19,B01        ,322.37
145,26,           ,13277.4
145,34,           ,23913.26
145,30,           ,16779.98
145,68,           ,47933.39
145,70,           ,19902.92
146,2,           ,8605.6
146,34,           ,15891.96
146,44,           ,12221.71
146,6,           ,51115.74
146,7,           ,64129.07
146,11,           ,70294.4
146,24,           ,16282.92
146,35,           ,57610.33
146,40,           ,35510.28
146,43,           ,26056.35
146,55,           ,10497.02
146,29,           ,34401.78
146,38,           ,28173.21
146,45,           ,9701.42
146,48,           ,69011.54
146,18,           ,147212.49
146,37,           ,47242.17
146,46,           ,13441.08
147.01,1.02,C1B        ,5654.81
147.01,1.06,C1F        ,6809.94
147.01,1.1,C1J        ,4955.25
147.01,1.11,C1K        ,3449.99
147.01,1.16,C1P        ,8762.51
147.01,1.17,C1Q        ,6211.3
147.01,1.18,C1R        ,6523.17
147.01,1.19,C1S        ,2846.32
147.01,2.01,C2A        ,3525.53
147.01,2.02,C2B        ,4678.06
147.01,2.05,C2E        ,2917.5
147.01,2.06,C2F        ,2612.17
147.01,2.09,C2I        ,3698.42
147.01,2.1,C2J        ,3883.98
147.01,2.13,C2M        ,2721.38
147.01,2.15,C2O        ,5846.36
147.01,2.16,C2P        ,3750.36
147.01,2.18,C2R        ,3728.37
147.01,2.22,C2V        ,4671.96
147.01,2.24,C2X        ,5873.12
147.01,3.11,C3K        ,7497.13
147.01,3.16,C3P        ,3807.46
147.01,3.19,C3S        ,4092.81
147.01,3.24,C3X        ,3593.69
147.01,4.1,C4J        ,5688.16
147.01,4.15,C4O        ,6494.25
147.01,4.18,C4R        ,5790.73
147.01,4.22,C4V        ,4657.06
147.01,4.23,C4W        ,5408.92
147.01,5.05,C5E        ,5640.71
147.01,5.06,C5F        ,2374.58
147.01,6.05,C6E        ,4837.74
147.01,6.08,C6H        ,3959.05
147.01,7.02,C7B        ,3852.61
147.01,7.04,C7D        ,4775.73
147.01,7.05,C7E        ,4008.68
147.01,9.01,C9A        ,3621.38
147.01,9.04,C9D        ,3826.84
147,1,           ,650913.61
147.01,1.22,CC1T       ,9846.96
147.01,1.23,CD1T       ,6459.38
147.01,2.03,C2C        ,3430.77
147.01,2.04,C2D        ,3571.42
147.01,2.07,C2G        ,365.55
147.01,2.08,C2H        ,4031.94
147.01,2.23,C2W        ,4301.7
147.01,2.25,C2Y        ,10026.47
147.01,3.02,C3B        ,3654.45
147.01,3.04,C3D        ,3683.36
147.01,3.06,C3F        ,2762.93
147.01,3.08,C3H        ,4091.22
147.01,3.1,C3J        ,3512
147.01,3.17,C3Q        ,2786.29
147.01,3.18,C3R        ,4116.75
147.01,3.22,C3V        ,4856.63
147.01,4.12,C4L        ,3980.49
147.01,4.13,C4M        ,9103.42
147.01,4.2,C4T        ,4902.82
147.01,5.04,C5D        ,3859.17
147.01,5.07,C5G        ,5262.32
147.01,5.1,C5J        ,2226.46
147.01,5.11,C5K        ,7389.71
147.01,5.14,C5N        ,9477.35
147.01,5.15,C5O        ,4586.06
147.01,6.06,C6F        ,5898.68
147.01,6.07,C6G        ,4366.6
147.01,6.11,C6K        ,3479.64
147.01,9.02,C9B        ,4424.84
147.01,1.01,C1A        ,7114.85
147.01,1.04,C1D        ,5039.13
147.01,1.05,C1E        ,6323.06
147.01,1.08,C1H        ,7149.56
147.01,1.09,C1I        ,5011.31
147.01,1.2,C1T        ,6417.51
147.01,1.21,CB1T       ,5479.99
147.01,1.25,C1Y        ,65957.94
147.01,2.21,C2U        ,2400.92
147.01,3.13,C3M        ,3767.93
147.01,3.14,C3N        ,2548.6
147.01,3.23,C3W        ,4065.14
147.01,4.01,C4A        ,5030.57
147.01,4.02,C4B        ,3820.11
147.01,4.03,C4C        ,3189.99
147.01,4.04,C4D        ,4330.97
147.01,4.05,C4E        ,3328.54
147.01,4.06,C4F        ,2263.04
147.01,4.07,C4G        ,4123.11
147.01,4.08,C4H        ,3780.71
147.01,4.09,C4I        ,7372.89
147.01,4.16,C4P        ,3464.68
147.01,4.17,C4Q        ,4512.7
147.01,4.21,C4U        ,8002.42
147.01,4.24,C4X        ,6938.98
147.01,5.03,C5C        ,4605.59
147.01,5.08,C5H        ,3847.29
147.01,5.12,C5L        ,5745.54
147.01,5.13,C5M        ,2902.44
147.01,6.02,C6B        ,1605.63
147.01,6.03,C6C        ,4653.6
147.01,8.01,C8A        ,4025.86
147.01,8.02,C8B        ,3393.34
147.01,8.03,C8C        ,3385.2
147.01,8.04,C8D        ,3795.62
147.01,9.03,C9C        ,2543.27
147,70,           ,50249.97
147.01,1.03,C1C        ,6386.4
147.01,1.07,C1G        ,6960.35
147.01,1.12,C1L        ,3575.96
147.01,1.13,C1M        ,1710.7
147.01,1.14,C1N        ,3069.15
147.01,1.15,C1O        ,2230.52
147.01,2.11,C2K        ,3877.28
147.01,2.12,C2L        ,5207.77
147.01,2.14,C2N        ,6774.06
147.01,2.17,C2Q        ,3532.02
147.01,2.19,C2S        ,4411.25
147.01,2.2,C2T        ,3995.92
147.01,2.26,C2Z        ,6891.25
147.01,3.01,C3A        ,4312.99
147.01,3.03,C3C        ,2836.83
147.01,3.05,C3E        ,4138.81
147.01,3.07,C3G        ,3619.27
147.01,3.09,C3I        ,2680.74
147.01,3.12,C3L        ,3434.23
147.01,3.15,C3O        ,4878.68
147.01,3.2,C3T        ,3584.12
147.01,3.21,C3U        ,1595.32
147.01,4.11,C4K        ,3701.66
147.01,4.14,C4N        ,3311.78
147.01,4.19,C4S        ,4901.6
147.01,5.01,C5A        ,7562.17
147.01,5.09,C5I        ,4112.75
147.01,6.01,C6A        ,4629.49
147.01,6.04,C6D        ,3669.45
147.01,6.09,C6I        ,7441.93
147.01,7.01,C7A        ,4390.45
147.01,7.03,C7C        ,5169.67
147.01,10.01,C10A       ,10492.49
150.02,162,T01        ,7305.96
150.02,162,C1A        ,835202.96
150.02,162,C2A        ,132047.9
150.02,162,C3A        ,1337176.14
150,4,           ,1798756.76
151,121,           ,1668959.99
151,122,           ,2054995.42
151,1,           ,232866.47
151,120,           ,3625035.03
151.01,35,           ,41297.98
153,1,           ,190190.66
153,1,T01        ,7305.96
157,21,B01        ,19441.77
157,30,           ,998.52
158,14,           ,4621.68
